topology,traffic,vc_mode,vcs,queues,diameter,bisection,offered_rate,accepted_throughput,avg_latency,max_latency,avg_hops,bg_latency,hot_latency,bg_throughput,hot_throughput,m_generated,m_delivered,unretired,dropped_full,peak_queue,conservation_ok,saturated
mesh,hotnode,vc4_plain,4,1,6,4,0.5000,0.344969,2992.6689,22506,2.4738,2646.1788,3310.7194,0.169182,0.175786,24002,20002,0,4000,1024,1,1
mesh,hotnode,vc4_plain,4,1,6,4,0.5500,0.356964,3333.1478,23394,2.4537,3230.5326,3427.5372,0.170880,0.186083,26332,21291,0,5041,1024,1,1
mesh,hotnode,vc4_plain,4,1,6,4,0.6000,0.377302,3461.2446,25319,2.4233,3283.7697,3622.7717,0.180349,0.196953,28720,22490,0,6230,1024,1,1
mesh,hotnode,vc4_plain,4,1,6,4,0.7000,0.389099,3700.3867,25847,2.4449,3564.9344,3823.1342,0.185646,0.203453,33557,23473,0,10084,1024,1,1
mesh,hotnode,vc4_plain,4,1,6,4,0.8000,0.397396,4250.0027,27998,2.4418,4111.0162,4375.8740,0.190568,0.206828,38444,24880,0,13564,1024,1,1
ring,hotnode,vc2_qclass,2,2,8,2,0.0200,0.019979,8.5558,19,4.2805,8.5196,8.5892,0.009583,0.010396,959,959,0,0,2,1,0
ring,hotnode,vc2_qclass,2,2,8,2,0.0500,0.050453,9.3263,31,4.3189,9.2528,9.3929,0.023990,0.026464,2421,2421,0,0,2,1,0
ring,hotnode,vc2_qclass,2,2,8,2,0.0800,0.080932,9.9580,39,4.1894,9.6938,10.1845,0.037396,0.043536,3885,3885,0,0,2,1,0
ring,hotnode,vc2_qclass,2,2,8,2,0.1100,0.109677,10.9882,75,4.1765,10.6563,11.2766,0.050974,0.058703,5263,5263,0,0,3,1,0
ring,hotnode,vc2_qclass,2,2,8,2,0.1400,0.138953,13.1938,114,4.2767,12.5067,13.7742,0.063578,0.075375,6676,6676,0,0,5,1,0
ring,hotnode,vc2_qclass,2,2,8,2,0.1700,0.170021,19.6126,343,4.2564,17.3253,21.5882,0.078948,0.091073,8152,8152,0,0,14,1,0
ring,hotnode,vc2_qclass,2,2,8,2,0.2000,0.197063,156.5514,5898,4.2084,46.6670,252.5285,0.092932,0.104130,9592,9592,0,0,166,1,0
ring,hotnode,vc2_qclass,2,2,8,2,0.2400,0.219427,944.3725,12077,4.2711,495.7184,1335.1853,0.106313,0.113115,11451,11451,0,0,375,1,1
ring,hotnode,vc2_qclass,2,2,8,2,0.2800,0.229437,2243.1360,14593,4.2850,1457.0781,2922.9257,0.115182,0.114255,13449,13449,0,0,434,1,1
ring,hotnode,vc2_qclass,2,2,8,2,0.3200,0.236042,3595.8325,17802,4.2629,2412.1255,4628.2711,0.122130,0.113911,15370,15339,0,31,512,1,1
ring,hotnode,vc2_qclass,2,2,8,2,0.3600,0.239057,4940.0993,19771,4.2341,3290.9630,6384.3539,0.128062,0.110995,17299,17182,0,117,512,1,1
ring,hotnode,vc2_qclass,2,2,8,2,0.4000,0.243047,6171.8975,22278,4.2654,4378.9801,7825.0663,0.133109,0.109937,19218,18667,0,551,512,1,1
ring,hotnode,vc2_qclass,2,2,8,2,0.4500,0.246365,7447.4124,23839,4.3087,5407.2769,9537.9755,0.140214,0.106151,21547,19905,0,1642,512,1,1
ring,hotnode,vc2_qclass,2,2,8,2,0.5000,0.248281,8451.6663,25466,4.3187,6790.9731,10290.7139,0.140016,0.108266,24002,20682,0,3320,512,1,1
ring,hotnode,vc2_qclass,2,2,8,2,0.5500,0.242755,9514.7529,27013,4.2880,8140.8979,11147.1957,0.133932,0.108823,26332,21066,0,5266,512,1,1
ring,hotnode,vc2_qclass,2,2,8,2,0.6000,0.245203,10211.3614,28003,4.2874,9015.0597,11670.7229,0.133495,0.111708,28720,21402,0,7318,512,1,1
ring,hotnode,vc2_qclass,2,2,8,2,0.7000,0.243979,11398.5645,28902,4.2730,10535.4909,12500.4772,0.132286,0.111693,33557,21144,0,12413,512,1,1
ring,hotnode,vc2_qclass,2,2,8,2,0.8000,0.243750,12291.4656,30463,4.3055,11670.5623,13069.6398,0.129417,0.114333,38444,20523,0,17921,512,1,1
mesh,hotnode,vc2_qclass,2,2,6,4,0.0200,0.019979,6.7299,13,2.5683,6.7783,6.6854,0.009583,0.010396,959,959,0,0,1,1,0
mesh,hotnode,vc2_qclass,2,2,6,4,0.0500,0.050438,7.0657,22,2.5547,6.9253,7.1929,0.023979,0.026458,2421,2421,0,0,1,1,0
mesh,hotnode,vc2_qclass,2,2,6,4,0.0800,0.080927,7.4880,30,2.5598,7.1428,7.7839,0.037385,0.043542,3885,3885,0,0,2,1,0
mesh,hotnode,vc2_qclass,2,2,6,4,0.1100,0.109693,7.9322,85,2.5109,7.1708,8.5938,0.051010,0.058682,5263,5263,0,0,2,1,0
mesh,hotnode,vc2_qclass,2,2,6,4,0.1400,0.139000,8.6311,99,2.5448,7.4076,9.6645,0.063646,0.075354,6676,6676,0,0,2,1,0
mesh,hotnode,vc2_qclass,2,2,6,4,0.1700,0.169682,10.4047,205,2.5213,7.9119,12.5578,0.078641,0.091042,8152,8152,0,0,7,1,0
mesh,hotnode,vc2_qclass,2,2,6,4,0.2000,0.199734,20.5535,1301,2.5353,14.0559,26.2287,0.093167,0.106568,9592,9592,0,0,36,1,0
mesh,hotnode,vc2_qclass,2,2,6,4,0.2400,0.229750,418.8022,12652,2.5496,157.4136,646.4922,0.111365,0.118385,11451,11451,0,0,402,1,0
mesh,hotnode,vc2_qclass,2,2,6,4,0.2800,0.253932,1006.7319,15281,2.5376,460.1332,1484.8715,0.125693,0.128240,13449,13367,0,82,512,1,1
mesh,hotnode,vc2_qclass,2,2,6,4,0.3200,0.265172,1744.6388,17199,2.5404,1398.9053,2058.8062,0.128156,0.137016,15370,15010,0,360,512,1,1
mesh,hotnode,vc2_qclass,2,2,6,4,0.3600,0.281885,2109.2990,18841,2.5178,1778.3959,2417.1401,0.134823,0.147063,17299,16535,0,764,512,1,1
mesh,hotnode,vc2_qclass,2,2,6,4,0.4000,0.301286,2301.6009,19798,2.4950,2029.9583,2561.2868,0.146245,0.155042,19218,17553,0,1665,512,1,1
mesh,hotnode,vc2_qclass,2,2,6,4,0.4500,0.320589,2680.2748,21794,2.4870,2348.8540,3002.1531,0.158271,0.162318,21547,18827,0,2720,512,1,1
mesh,hotnode,vc2_qclass,2,2,6,4,0.5000,0.347448,2905.5466,23135,2.4781,2495.7910,3312.6004,0.176125,0.171323,24002,20255,0,3747,512,1,1
mesh,hotnode,vc2_qclass,2,2,6,4,0.5500,0.361375,2990.7963,23324,2.4614,2928.0926,3054.9362,0.177833,0.183542,26332,21196,0,5136,512,1,1
mesh,hotnode,vc2_qclass,2,2,6,4,0.6000,0.374286,3126.2865,23618,2.4301,3287.4922,2965.3002,0.181344,0.192943,28720,22039,0,6681,512,1,1
mesh,hotnode,vc2_qclass,2,2,6,4,0.7000,0.395115,3706.1090,26082,2.4367,3432.9255,3980.0029,0.202609,0.192505,33557,23875,0,9682,512,1,1
mesh,hotnode,vc2_qclass,2,2,6,4,0.8000,0.394604,4010.9520,26286,2.4341,4160.7654,3851.3641,0.195021,0.199583,38444,24500,0,13944,512,1,1
ring,hotnode,vc4_class,4,2,8,2,0.0200,0.019979,8.5600,17,4.2805,8.5087,8.6072,0.009583,0.010396,959,959,0,0,1,1,0
ring,hotnode,vc4_class,4,2,8,2,0.0500,0.050438,9.2710,25,4.3189,9.1355,9.3937,0.023979,0.026458,2421,2421,0,0,2,1,0
ring,hotnode,vc4_class,4,2,8,2,0.0800,0.080932,9.8201,49,4.1894,9.5025,10.0923,0.037396,0.043536,3885,3885,0,0,2,1,0
ring,hotnode,vc4_class,4,2,8,2,0.1100,0.109677,10.6424,81,4.1765,10.1557,11.0653,0.050974,0.058703,5263,5263,0,0,2,1,0
ring,hotnode,vc4_class,4,2,8,2,0.1400,0.138974,12.2072,90,4.2767,11.0713,13.1666,0.063615,0.075359,6676,6676,0,0,5,1,0
ring,hotnode,vc4_class,4,2,8,2,0.1700,0.169911,15.0883,244,4.2564,12.0603,17.7037,0.078807,0.091104,8152,8152,0,0,8,1,0
ring,hotnode,vc4_class,4,2,8,2,0.2000,0.200005,33.3439,1022,4.2084,13.5910,50.5969,0.093193,0.106813,9592,9592,0,0,30,1,0
